processo_id,numero_do_processo,titulo_do_processo,decisao_do_processo,tipo_de_direito_do_processo,documento_parte,registro_OAB
76,76,titulo76,decisao76,Direito Penal,11,7
77,77,titulo77,decisao77,Direito Penal,45,6
78,78,titulo78,decisao78,Direito Penal,50,4
79,79,titulo79,decisao79,Direito Tributário,25,4
80,80,titulo80,decisao80,Direito Tributário,23,5
81,81,titulo81,decisao81,Direito Tributário,15,10
82,82,titulo82,decisao82,Direito Digital,1,8
83,83,titulo83,decisao83,Direito Digital,44,10
84,84,titulo84,decisao84,Direito Digital,33,10
85,85,titulo85,decisao85,Direito Ambiental,42,7
86,86,titulo86,decisao86,Direito Ambiental,38,2
87,87,titulo87,decisao87,Direito Ambiental,4,4
88,88,titulo88,decisao88,Direito do Consumidor,5,9
89,89,titulo89,decisao89,Direito do Consumidor,7,5
90,90,titulo90,decisao90,Direito do Consumidor,14,9
91,91,titulo91,decisao91,Direito Civil,48,10
92,92,titulo92,decisao92,Direito Civil,41,8
93,93,titulo93,decisao93,Direito Civil,34,7
94,94,titulo94,decisao94,Direito Penal,40,10
95,95,titulo95,decisao95,Direito Penal,22,1
96,96,titulo96,decisao96,Direito Penal,42,6
97,97,titulo97,decisao97,Direito Tributário,42,9
98,98,titulo98,decisao98,Direito Tributário,10,1
99,99,titulo99,decisao99,Direito Tributário,12,7
100,100,titulo100,decisao100,Direito Digital,5,1
101,101,titulo101,decisao101,Direito Digital,30,3
102,102,titulo102,decisao102,Direito Digital,23,3
103,103,titulo103,decisao103,Direito Ambiental,23,3
104,104,titulo104,decisao104,Direito Ambiental,2,1
105,105,titulo105,decisao105,Direito Ambiental,1,4
106,106,titulo106,decisao106,Direito do Consumidor,42,2
107,107,titulo107,decisao107,Direito do Consumidor,38,7
108,108,titulo108,decisao108,Direito do Consumidor,30,1
109,109,titulo109,decisao109,Direito Civil,25,8
110,110,titulo110,decisao110,Direito Civil,34,4
111,111,titulo111,decisao111,Direito Civil,12,9
112,112,titulo112,decisao112,Direito Penal,39,9
113,113,titulo113,decisao113,Direito Penal,40,3
114,114,titulo114,decisao114,Direito Penal,7,10
115,115,titulo115,decisao115,Direito Tributário,13,2
116,116,titulo116,decisao116,Direito Tributário,35,2
117,117,titulo117,decisao117,Direito Tributário,2,5
118,118,titulo118,decisao118,Direito Digital,4,7
119,119,titulo119,decisao119,Direito Digital,20,3
120,120,titulo120,decisao120,Direito Digital,32,8
121,121,titulo121,decisao121,Direito Ambiental,1,7
122,122,titulo122,decisao122,Direito Ambiental,48,6
123,123,titulo123,decisao123,Direito Ambiental,32,7
124,124,titulo124,decisao124,Direito do Consumidor,28,10
125,125,titulo125,decisao125,Direito do Consumidor,38,7
126,126,titulo126,decisao126,Direito do Consumidor,48,6
127,127,titulo127,decisao127,Direito Civil,7,9
128,128,titulo128,decisao128,Direito Civil,11,9
129,129,titulo129,decisao129,Direito Civil,38,4
130,130,titulo130,decisao130,Direito Penal,39,1
131,131,titulo131,decisao131,Direito Penal,13,7
132,132,titulo132,decisao132,Direito Penal,9,2
133,133,titulo133,decisao133,Direito Tributário,5,1
134,134,titulo134,decisao134,Direito Tributário,43,10
135,135,titulo135,decisao135,Direito Tributário,25,2
136,136,titulo136,decisao136,Direito Digital,11,2
137,137,titulo137,decisao137,Direito Digital,46,6
138,138,titulo138,decisao138,Direito Digital,26,9
139,139,titulo139,decisao139,Direito Ambiental,16,1
140,140,titulo140,decisao140,Direito Ambiental,22,6
141,141,titulo141,decisao141,Direito Ambiental,49,5
142,142,titulo142,decisao142,Direito do Consumidor,49,9
143,143,titulo143,decisao143,Direito do Consumidor,9,9
144,144,titulo144,decisao144,Direito do Consumidor,11,8
145,145,titulo145,decisao145,Direito Civil,13,9
146,146,titulo146,decisao146,Direito Civil,30,4
147,147,titulo147,decisao147,Direito Civil,26,5
148,148,titulo148,decisao148,Direito Penal,30,6
149,149,titulo149,decisao149,Direito Penal,48,3
150,150,titulo150,decisao150,Direito Penal,32,1
151,151,titulo151,decisao151,Direito Tributário,33,9
152,152,titulo152,decisao152,Direito Tributário,1,2
153,153,titulo153,decisao153,Direito Tributário,22,10
154,154,titulo154,decisao154,Direito Digital,27,6
155,155,titulo155,decisao155,Direito Digital,45,10
156,156,titulo156,decisao156,Direito Digital,20,4
157,157,titulo157,decisao157,Direito Ambiental,39,8
158,158,titulo158,decisao158,Direito Ambiental,10,1
159,159,titulo159,decisao159,Direito Ambiental,37,7
160,160,titulo160,decisao160,Direito do Consumidor,8,8
161,161,titulo161,decisao161,Direito do Consumidor,18,6
162,162,titulo162,decisao162,Direito do Consumidor,23,1
163,163,titulo163,decisao163,Direito Civil,27,4
164,164,titulo164,decisao164,Direito Civil,6,5
165,165,titulo165,decisao165,Direito Civil,47,8
166,166,titulo166,decisao166,Direito Penal,3,6
167,167,titulo167,decisao167,Direito Penal,28,8
168,168,titulo168,decisao168,Direito Penal,33,2
169,169,titulo169,decisao169,Direito Tributário,17,1
170,170,titulo170,decisao170,Direito Tributário,1,1
171,171,titulo171,decisao171,Direito Tributário,17,1
172,172,titulo172,decisao172,Direito Digital,47,9
173,173,titulo173,decisao173,Direito Digital,12,1
174,174,titulo174,decisao174,Direito Digital,19,10
175,175,titulo175,decisao175,Direito Ambiental,9,2
176,176,titulo176,decisao176,Direito Ambiental,35,9
177,177,titulo177,decisao177,Direito Ambiental,17,3
178,178,titulo178,decisao178,Direito do Consumidor,50,4
179,179,titulo179,decisao179,Direito do Consumidor,19,6
180,180,titulo180,decisao180,Direito do Consumidor,33,8
181,181,titulo181,decisao181,Direito Civil,19,9
182,182,titulo182,decisao182,Direito Civil,47,4
183,183,titulo183,decisao183,Direito Civil,30,6
184,184,titulo184,decisao184,Direito Penal,21,10
185,185,titulo185,decisao185,Direito Penal,35,7
186,186,titulo186,decisao186,Direito Penal,27,9
187,187,titulo187,decisao187,Direito Tributário,16,8
188,188,titulo188,decisao188,Direito Tributário,2,4
189,189,titulo189,decisao189,Direito Tributário,37,1
190,190,titulo190,decisao190,Direito Digital,27,1
191,191,titulo191,decisao191,Direito Digital,43,6
192,192,titulo192,decisao192,Direito Digital,10,2
193,193,titulo193,decisao193,Direito Ambiental,32,9
194,194,titulo194,decisao194,Direito Ambiental,32,8
195,195,titulo195,decisao195,Direito Ambiental,41,10
196,196,titulo196,decisao196,Direito do Consumidor,36,10
197,197,titulo197,decisao197,Direito do Consumidor,22,8
198,198,titulo198,decisao198,Direito do Consumidor,45,8
199,199,titulo199,decisao199,Direito Civil,3,1
200,200,titulo200,decisao200,Direito Civil,13,1
201,201,titulo201,decisao201,Direito Civil,8,4
202,202,titulo202,decisao202,Direito Penal,30,4
203,203,titulo203,decisao203,Direito Penal,36,2
204,204,titulo204,decisao204,Direito Penal,12,9
205,205,titulo205,decisao205,Direito Tributário,36,5
206,206,titulo206,decisao206,Direito Tributário,30,6
207,207,titulo207,decisao207,Direito Tributário,35,1
208,208,titulo208,decisao208,Direito Digital,11,1
209,209,titulo209,decisao209,Direito Digital,3,4
210,210,titulo210,decisao210,Direito Digital,48,4
211,211,titulo211,decisao211,Direito Ambiental,10,3
212,212,titulo212,decisao212,Direito Ambiental,7,9
213,213,titulo213,decisao213,Direito Ambiental,19,7
214,214,titulo214,decisao214,Direito do Consumidor,29,2
215,215,titulo215,decisao215,Direito do Consumidor,10,3
216,216,titulo216,decisao216,Direito do Consumidor,44,6
217,217,titulo217,decisao217,Direito Civil,30,10
218,218,titulo218,decisao218,Direito Civil,19,7
219,219,titulo219,decisao219,Direito Civil,44,6
220,220,titulo220,decisao220,Direito Penal,45,3
221,221,titulo221,decisao221,Direito Penal,13,1
222,222,titulo222,decisao222,Direito Penal,50,8
223,223,titulo223,decisao223,Direito Tributário,16,4
224,224,titulo224,decisao224,Direito Tributário,37,10
225,225,titulo225,decisao225,Direito Tributário,36,1
226,226,titulo226,decisao226,Direito Digital,37,6
227,227,titulo227,decisao227,Direito Digital,33,7
228,228,titulo228,decisao228,Direito Digital,28,4
229,229,titulo229,decisao229,Direito Ambiental,20,7
230,230,titulo230,decisao230,Direito Ambiental,1,2
231,231,titulo231,decisao231,Direito Ambiental,16,6
232,232,titulo232,decisao232,Direito do Consumidor,31,7
233,233,titulo233,decisao233,Direito do Consumidor,17,5
234,234,titulo234,decisao234,Direito do Consumidor,40,8
235,235,titulo235,decisao235,Direito Civil,26,9
236,236,titulo236,decisao236,Direito Civil,18,5
237,237,titulo237,decisao237,Direito Civil,11,10
238,238,titulo238,decisao238,Direito Penal,14,1
239,239,titulo239,decisao239,Direito Penal,6,5
240,240,titulo240,decisao240,Direito Penal,4,3
241,241,titulo241,decisao241,Direito Tributário,23,5
242,242,titulo242,decisao242,Direito Tributário,29,4
243,243,titulo243,decisao243,Direito Tributário,13,3
244,244,titulo244,decisao244,Direito Digital,33,8
245,245,titulo245,decisao245,Direito Digital,26,4
246,246,titulo246,decisao246,Direito Digital,16,9
247,247,titulo247,decisao247,Direito Ambiental,16,7
248,248,titulo248,decisao248,Direito Ambiental,42,1
249,249,titulo249,decisao249,Direito Ambiental,35,6
250,250,titulo250,decisao250,Direito do Consumidor,50,5
251,251,titulo251,decisao251,Direito Civil,23,3
252,252,titulo252,decisao252,Direito Civil,35,8
253,253,titulo253,decisao253,Direito Civil,3,6
254,254,titulo254,decisao254,Direito Penal,26,9
255,255,titulo255,decisao255,Direito Penal,35,6
256,256,titulo256,decisao256,Direito Penal,42,4
257,257,titulo257,decisao257,Direito Tributário,36,5
258,258,titulo258,decisao258,Direito Tributário,19,7
259,259,titulo259,decisao259,Direito Tributário,32,3
260,260,titulo260,decisao260,Direito Digital,30,1
261,261,titulo261,decisao261,Direito Digital,4,9
262,262,titulo262,decisao262,Direito Digital,19,4
263,263,titulo263,decisao263,Direito Ambiental,18,4
264,264,titulo264,decisao264,Direito Ambiental,46,5
265,265,titulo265,decisao265,Direito Ambiental,47,8
266,266,titulo266,decisao266,Direito do Consumidor,46,8
267,267,titulo267,decisao267,Direito do Consumidor,34,6
268,268,titulo268,decisao268,Direito do Consumidor,20,1
269,269,titulo269,decisao269,Direito Civil,15,4
270,270,titulo270,decisao270,Direito Civil,35,6
271,271,titulo271,decisao271,Direito Civil,5,1
272,272,titulo272,decisao272,Direito Penal,45,10
273,273,titulo273,decisao273,Direito Penal,46,4
274,274,titulo274,decisao274,Direito Penal,25,2
275,275,titulo275,decisao275,Direito Tributário,16,8
276,276,titulo276,decisao276,Direito Tributário,48,9
277,277,titulo277,decisao277,Direito Tributário,46,5
278,278,titulo278,decisao278,Direito Digital,22,7
279,279,titulo279,decisao279,Direito Digital,5,7
280,280,titulo280,decisao280,Direito Digital,38,10
281,281,titulo281,decisao281,Direito Ambiental,38,6
282,282,titulo282,decisao282,Direito Ambiental,34,4
283,283,titulo283,decisao283,Direito Ambiental,2,2
284,284,titulo284,decisao284,Direito do Consumidor,2,1
285,285,titulo285,decisao285,Direito do Consumidor,48,3
286,286,titulo286,decisao286,Direito do Consumidor,5,8
287,287,titulo287,decisao287,Direito Civil,40,6
288,288,titulo288,decisao288,Direito Civil,49,2
289,289,titulo289,decisao289,Direito Civil,11,7
290,290,titulo290,decisao290,Direito Penal,45,7
291,291,titulo291,decisao291,Direito Penal,47,9
292,292,titulo292,decisao292,Direito Penal,2,10
293,293,titulo293,decisao293,Direito Tributário,7,1
294,294,titulo294,decisao294,Direito Tributário,30,3
295,295,titulo295,decisao295,Direito Tributário,25,7
296,296,titulo296,decisao296,Direito Digital,36,2
297,297,titulo297,decisao297,Direito Digital,15,6
298,298,titulo298,decisao298,Direito Digital,11,8
299,299,titulo299,decisao299,Direito Ambiental,31,6
300,300,titulo300,decisao300,Direito Ambiental,45,7
301,301,titulo301,decisao301,Direito Ambiental,15,3
302,302,titulo302,decisao302,Direito do Consumidor,39,8
303,303,titulo303,decisao303,Direito do Consumidor,37,3
304,304,titulo304,decisao304,Direito do Consumidor,40,1
305,305,titulo305,decisao305,Direito Civil,50,1
306,306,titulo306,decisao306,Direito Civil,39,7
307,307,titulo307,decisao307,Direito Civil,50,4
308,308,titulo308,decisao308,Direito Penal,13,7
309,309,titulo309,decisao309,Direito Penal,10,6
310,310,titulo310,decisao310,Direito Penal,9,1
311,311,titulo311,decisao311,Direito Tributário,12,8
312,312,titulo312,decisao312,Direito Tributário,8,6
313,313,titulo313,decisao313,Direito Tributário,42,8
314,314,titulo314,decisao314,Direito Digital,32,4
315,315,titulo315,decisao315,Direito Digital,22,1
316,316,titulo316,decisao316,Direito Digital,2,5
317,317,titulo317,decisao317,Direito Ambiental,12,9
318,318,titulo318,decisao318,Direito Ambiental,44,1
319,319,titulo319,decisao319,Direito Ambiental,32,3
320,320,titulo320,decisao320,Direito do Consumidor,37,7
321,321,titulo321,decisao321,Direito do Consumidor,33,3
322,322,titulo322,decisao322,Direito do Consumidor,20,2
323,323,titulo323,decisao323,Direito Civil,22,8
324,324,titulo324,decisao324,Direito Civil,40,6
325,325,titulo325,decisao325,Direito Civil,30,3
326,326,titulo326,decisao326,Direito Penal,22,7
327,327,titulo327,decisao327,Direito Penal,47,8
328,328,titulo328,decisao328,Direito Penal,10,10
329,329,titulo329,decisao329,Direito Tributário,35,1
330,330,titulo330,decisao330,Direito Tributário,5,6
331,331,titulo331,decisao331,Direito Tributário,8,4
332,332,titulo332,decisao332,Direito Digital,43,4
333,333,titulo333,decisao333,Direito Digital,27,10
334,334,titulo334,decisao334,Direito Digital,4,2
335,335,titulo335,decisao335,Direito Ambiental,48,4
336,336,titulo336,decisao336,Direito Ambiental,22,2
337,337,titulo337,decisao337,Direito Ambiental,22,3
338,338,titulo338,decisao338,Direito do Consumidor,6,5
339,339,titulo339,decisao339,Direito do Consumidor,11,4
340,340,titulo340,decisao340,Direito do Consumidor,19,9
341,341,titulo341,decisao341,Direito Civil,34,7
342,342,titulo342,decisao342,Direito Civil,47,4
343,343,titulo343,decisao343,Direito Civil,17,5
344,344,titulo344,decisao344,Direito Penal,43,1
345,345,titulo345,decisao345,Direito Penal,30,5
346,346,titulo346,decisao346,Direito Penal,47,7
347,347,titulo347,decisao347,Direito Tributário,32,9
348,348,titulo348,decisao348,Direito Tributário,4,9
349,349,titulo349,decisao349,Direito Tributário,43,4
350,350,titulo350,decisao350,Direito Digital,7,5
351,351,titulo351,decisao351,Direito Digital,10,10
352,352,titulo352,decisao352,Direito Digital,33,10
353,353,titulo353,decisao353,Direito Ambiental,20,10
354,354,titulo354,decisao354,Direito Ambiental,44,9
355,355,titulo355,decisao355,Direito Ambiental,20,3
356,356,titulo356,decisao356,Direito do Consumidor,16,1
357,357,titulo357,decisao357,Direito do Consumidor,40,9
358,358,titulo358,decisao358,Direito do Consumidor,30,8
359,359,titulo359,decisao359,Direito Civil,5,7
360,360,titulo360,decisao360,Direito Civil,42,6
361,361,titulo361,decisao361,Direito Civil,32,9
362,362,titulo362,decisao362,Direito Penal,11,4
363,363,titulo363,decisao363,Direito Penal,15,8
364,364,titulo364,decisao364,Direito Penal,8,5
365,365,titulo365,decisao365,Direito Tributário,14,5
366,366,titulo366,decisao366,Direito Tributário,40,3
367,367,titulo367,decisao367,Direito Tributário,31,3
368,368,titulo368,decisao368,Direito Digital,42,10
369,369,titulo369,decisao369,Direito Digital,17,5
370,370,titulo370,decisao370,Direito Digital,34,6
371,371,titulo371,decisao371,Direito Ambiental,14,4
372,372,titulo372,decisao372,Direito Ambiental,22,2
373,373,titulo373,decisao373,Direito Ambiental,5,8
374,374,titulo374,decisao374,Direito do Consumidor,37,1
375,375,titulo375,decisao375,Direito do Consumidor,22,7
376,376,titulo376,decisao376,Direito do Consumidor,35,5
377,377,titulo377,decisao377,Direito Civil,46,4
378,378,titulo378,decisao378,Direito Civil,22,9
379,379,titulo379,decisao379,Direito Civil,36,10
380,380,titulo380,decisao380,Direito Penal,35,9
381,381,titulo381,decisao381,Direito Penal,32,10
382,382,titulo382,decisao382,Direito Penal,4,4
383,383,titulo383,decisao383,Direito Tributário,37,1
384,384,titulo384,decisao384,Direito Tributário,43,10
385,385,titulo385,decisao385,Direito Tributário,19,2
386,386,titulo386,decisao386,Direito Digital,21,5
387,387,titulo387,decisao387,Direito Digital,50,3
388,388,titulo388,decisao388,Direito Digital,36,9
389,389,titulo389,decisao389,Direito Ambiental,27,8
390,390,titulo390,decisao390,Direito Ambiental,49,8
391,391,titulo391,decisao391,Direito Ambiental,15,8
392,392,titulo392,decisao392,Direito do Consumidor,19,9
393,393,titulo393,decisao393,Direito do Consumidor,8,8
394,394,titulo394,decisao394,Direito do Consumidor,7,5
395,395,titulo395,decisao395,Direito Civil,9,5
396,396,titulo396,decisao396,Direito Civil,33,5
397,397,titulo397,decisao397,Direito Civil,49,7
398,398,titulo398,decisao398,Direito Penal,41,1
399,399,titulo399,decisao399,Direito Penal,9,3
400,400,titulo400,decisao400,Direito Penal,6,8
401,401,titulo401,decisao401,Direito Tributário,42,2
402,402,titulo402,decisao402,Direito Tributário,40,7
403,403,titulo403,decisao403,Direito Tributário,40,7
404,404,titulo404,decisao404,Direito Digital,24,3
405,405,titulo405,decisao405,Direito Digital,19,9
406,406,titulo406,decisao406,Direito Digital,45,3
407,407,titulo407,decisao407,Direito Ambiental,21,10
408,408,titulo408,decisao408,Direito Ambiental,36,7
409,409,titulo409,decisao409,Direito Ambiental,50,8
410,410,titulo410,decisao410,Direito do Consumidor,42,4
411,411,titulo411,decisao411,Direito do Consumidor,31,1
412,412,titulo412,decisao412,Direito do Consumidor,15,4
413,413,titulo413,decisao413,Direito Civil,38,2
414,414,titulo414,decisao414,Direito Civil,23,8
415,415,titulo415,decisao415,Direito Civil,46,9
416,416,titulo416,decisao416,Direito Penal,31,5
417,417,titulo417,decisao417,Direito Penal,34,10
418,418,titulo418,decisao418,Direito Penal,35,7
419,419,titulo419,decisao419,Direito Tributário,40,7
420,420,titulo420,decisao420,Direito Tributário,26,1
421,421,titulo421,decisao421,Direito Tributário,46,6
422,422,titulo422,decisao422,Direito Digital,35,10
423,423,titulo423,decisao423,Direito Digital,34,6
424,424,titulo424,decisao424,Direito Digital,15,1
425,425,titulo425,decisao425,Direito Ambiental,22,8
426,426,titulo426,decisao426,Direito Ambiental,45,8
427,427,titulo427,decisao427,Direito Ambiental,11,6
428,428,titulo428,decisao428,Direito do Consumidor,30,5
429,429,titulo429,decisao429,Direito do Consumidor,42,5
430,430,titulo430,decisao430,Direito do Consumidor,36,2
431,431,titulo431,decisao431,Direito Civil,44,5
432,432,titulo432,decisao432,Direito Civil,4,3
433,433,titulo433,decisao433,Direito Civil,25,4
434,434,titulo434,decisao434,Direito Penal,43,10
435,435,titulo435,decisao435,Direito Penal,4,7
436,436,titulo436,decisao436,Direito Penal,43,8
437,437,titulo437,decisao437,Direito Tributário,47,3
438,438,titulo438,decisao438,Direito Tributário,29,4
439,439,titulo439,decisao439,Direito Tributário,27,2
440,440,titulo440,decisao440,Direito Digital,5,3
441,441,titulo441,decisao441,Direito Digital,13,5
442,442,titulo442,decisao442,Direito Digital,6,6
443,443,titulo443,decisao443,Direito Ambiental,44,10
444,444,titulo444,decisao444,Direito Ambiental,14,10
445,445,titulo445,decisao445,Direito Ambiental,47,3
446,446,titulo446,decisao446,Direito do Consumidor,49,5
447,447,titulo447,decisao447,Direito do Consumidor,33,2
448,448,titulo448,decisao448,Direito do Consumidor,31,8
449,449,titulo449,decisao449,Direito Civil,47,2
450,450,titulo450,decisao450,Direito Civil,19,10
451,451,titulo451,decisao451,Direito Civil,37,7
452,452,titulo452,decisao452,Direito Penal,39,5
453,453,titulo453,decisao453,Direito Penal,43,8
454,454,titulo454,decisao454,Direito Penal,13,6
455,455,titulo455,decisao455,Direito Tributário,22,9
456,456,titulo456,decisao456,Direito Tributário,43,3
457,457,titulo457,decisao457,Direito Tributário,4,8
458,458,titulo458,decisao458,Direito Digital,41,9
459,459,titulo459,decisao459,Direito Digital,41,2
460,460,titulo460,decisao460,Direito Digital,41,7
461,461,titulo461,decisao461,Direito Ambiental,27,7
462,462,titulo462,decisao462,Direito Ambiental,47,5
463,463,titulo463,decisao463,Direito Ambiental,1,4
464,464,titulo464,decisao464,Direito do Consumidor,23,6
465,465,titulo465,decisao465,Direito do Consumidor,50,6
466,466,titulo466,decisao466,Direito do Consumidor,9,5
467,467,titulo467,decisao467,Direito Civil,13,9
468,468,titulo468,decisao468,Direito Civil,23,4
469,469,titulo469,decisao469,Direito Civil,36,7
470,470,titulo470,decisao470,Direito Penal,15,2
471,471,titulo471,decisao471,Direito Penal,36,2
472,472,titulo472,decisao472,Direito Penal,29,4
473,473,titulo473,decisao473,Direito Tributário,34,10
474,474,titulo474,decisao474,Direito Tributário,47,8
475,475,titulo475,decisao475,Direito Tributário,39,9
476,476,titulo476,decisao476,Direito Digital,38,7
477,477,titulo477,decisao477,Direito Digital,9,4
478,478,titulo478,decisao478,Direito Digital,8,3
479,479,titulo479,decisao479,Direito Ambiental,40,10
480,480,titulo480,decisao480,Direito Ambiental,39,1
481,481,titulo481,decisao481,Direito Ambiental,35,10
482,482,titulo482,decisao482,Direito do Consumidor,11,6
483,483,titulo483,decisao483,Direito do Consumidor,43,10
484,484,titulo484,decisao484,Direito do Consumidor,10,1
485,485,titulo485,decisao485,Direito Civil,25,4
486,486,titulo486,decisao486,Direito Civil,33,7
487,487,titulo487,decisao487,Direito Civil,44,4
488,488,titulo488,decisao488,Direito Penal,47,8
489,489,titulo489,decisao489,Direito Penal,18,2
490,490,titulo490,decisao490,Direito Penal,39,4
491,491,titulo491,decisao491,Direito Tributário,41,10
492,492,titulo492,decisao492,Direito Tributário,28,2
493,493,titulo493,decisao493,Direito Tributário,3,10
494,494,titulo494,decisao494,Direito Digital,48,4
495,495,titulo495,decisao495,Direito Digital,42,2
496,496,titulo496,decisao496,Direito Digital,39,8
497,497,titulo497,decisao497,Direito Ambiental,34,7
498,498,titulo498,decisao498,Direito Ambiental,41,4
499,499,titulo499,decisao499,Direito Ambiental,38,6
500,500,titulo500,decisao500,Direito do Consumidor,1,1
501,501,titulo501,decisao501,Direito do Consumidor,35,3
502,502,titulo502,decisao502,Direito do Consumidor,17,8
503,503,titulo503,decisao503,Direito do Consumidor,17,8
504,504,titulo504,decisao504,Direito Civil,14,3
505,505,titulo505,decisao505,Direito Civil,18,8
506,506,titulo506,decisao506,Direito Civil,19,7
507,507,titulo507,decisao507,Direito Penal,18,10
508,508,titulo508,decisao508,Direito Penal,28,5
509,509,titulo509,decisao509,Direito Penal,5,5
510,510,titulo510,decisao510,Direito Tributário,19,2
511,511,titulo511,decisao511,Direito Tributário,39,5
512,512,titulo512,decisao512,Direito Tributário,31,3
513,513,titulo513,decisao513,Direito Digital,8,3
514,514,titulo514,decisao514,Direito Digital,44,10
515,515,titulo515,decisao515,Direito Digital,15,8
516,516,titulo516,decisao516,Direito Ambiental,46,3
517,517,titulo517,decisao517,Direito Ambiental,12,8
518,518,titulo518,decisao518,Direito Ambiental,1,2
519,519,titulo519,decisao519,Direito do Consumidor,33,2
520,520,titulo520,decisao520,Direito do Consumidor,14,10
521,521,titulo521,decisao521,Direito do Consumidor,30,6
522,522,titulo522,decisao522,Direito do Consumidor,3,9
523,523,titulo523,decisao523,Direito Civil,41,10
524,524,titulo524,decisao524,Direito Civil,9,1
525,525,titulo525,decisao525,Direito Civil,10,1
526,526,titulo526,decisao526,Direito Penal,34,3
527,527,titulo527,decisao527,Direito Penal,26,8
528,528,titulo528,decisao528,Direito Penal,32,1
529,529,titulo529,decisao529,Direito Tributário,6,2
530,530,titulo530,decisao530,Direito Tributário,46,8
531,531,titulo531,decisao531,Direito Tributário,11,2
532,532,titulo532,decisao532,Direito Digital,23,4
533,533,titulo533,decisao533,Direito Digital,36,8
534,534,titulo534,decisao534,Direito Digital,19,8
