decisao_id,numero_da_decisao,resumo_da_decisao,conteudo_da_decisao,juiz_id,processo_id,lei_id
131,decisao 131,resumo 131,conteudo 131,57,539,346
132,decisao 132,resumo 132,conteudo 132,63,79,380
133,decisao 133,resumo 133,conteudo 133,58,778,221
134,decisao 134,resumo 134,conteudo 134,26,167,275
135,decisao 135,resumo 135,conteudo 135,58,71,51
136,decisao 136,resumo 136,conteudo 136,58,482,475
137,decisao 137,resumo 137,conteudo 137,33,153,176
138,decisao 138,resumo 138,conteudo 138,29,934,406
139,decisao 139,resumo 139,conteudo 139,29,148,467
140,decisao 140,resumo 140,conteudo 140,45,647,340
141,decisao 141,resumo 141,conteudo 141,48,10,422
142,decisao 142,resumo 142,conteudo 142,87,202,467
143,decisao 143,resumo 143,conteudo 143,84,128,249
144,decisao 144,resumo 144,conteudo 144,4,542,208
145,decisao 145,resumo 145,conteudo 145,66,817,154
146,decisao 146,resumo 146,conteudo 146,63,547,259
147,decisao 147,resumo 147,conteudo 147,71,796,168
148,decisao 148,resumo 148,conteudo 148,61,724,336
149,decisao 149,resumo 149,conteudo 149,18,161,430
150,decisao 150,resumo 150,conteudo 150,1,59,381
151,decisao 151,resumo 151,conteudo 151,67,130,112
152,decisao 152,resumo 152,conteudo 152,33,896,362
153,decisao 153,resumo 153,conteudo 153,5,484,23
154,decisao 154,resumo 154,conteudo 154,92,731,66
155,decisao 155,resumo 155,conteudo 155,65,614,436
156,decisao 156,resumo 156,conteudo 156,3,235,282
157,decisao 157,resumo 157,conteudo 157,100,511,280
158,decisao 158,resumo 158,conteudo 158,8,53,378
159,decisao 159,resumo 159,conteudo 159,40,704,301
160,decisao 160,resumo 160,conteudo 160,54,618,241
161,decisao 161,resumo 161,conteudo 161,50,31,237
162,decisao 162,resumo 162,conteudo 162,50,800,447
163,decisao 163,resumo 163,conteudo 163,34,43,246
164,decisao 164,resumo 164,conteudo 164,60,921,442
165,decisao 165,resumo 165,conteudo 165,8,98,50
166,decisao 166,resumo 166,conteudo 166,80,32,371
167,decisao 167,resumo 167,conteudo 167,72,171,330
168,decisao 168,resumo 168,conteudo 168,92,309,78
169,decisao 169,resumo 169,conteudo 169,80,135,219
170,decisao 170,resumo 170,conteudo 170,41,300,153
171,decisao 171,resumo 171,conteudo 171,7,666,106
172,decisao 172,resumo 172,conteudo 172,90,133,228
173,decisao 173,resumo 173,conteudo 173,62,965,361
174,decisao 174,resumo 174,conteudo 174,25,86,47
175,decisao 175,resumo 175,conteudo 175,35,101,414
176,decisao 176,resumo 176,conteudo 176,13,387,452
177,decisao 177,resumo 177,conteudo 177,83,727,116
178,decisao 178,resumo 178,conteudo 178,35,599,415
179,decisao 179,resumo 179,conteudo 179,29,771,478
180,decisao 180,resumo 180,conteudo 180,91,770,299
181,decisao 181,resumo 181,conteudo 181,36,83,178
182,decisao 182,resumo 182,conteudo 182,10,586,399
183,decisao 183,resumo 183,conteudo 183,21,852,45
184,decisao 184,resumo 184,conteudo 184,2,386,326
185,decisao 185,resumo 185,conteudo 185,68,894,304
186,decisao 186,resumo 186,conteudo 186,7,303,466
187,decisao 187,resumo 187,conteudo 187,85,423,357
188,decisao 188,resumo 188,conteudo 188,99,472,97
189,decisao 189,resumo 189,conteudo 189,45,982,197
190,decisao 190,resumo 190,conteudo 190,88,866,412
191,decisao 191,resumo 191,conteudo 191,88,513,324
192,decisao 192,resumo 192,conteudo 192,47,27,238
193,decisao 193,resumo 193,conteudo 193,11,250,131
194,decisao 194,resumo 194,conteudo 194,52,816,112
195,decisao 195,resumo 195,conteudo 195,4,822,71
196,decisao 196,resumo 196,conteudo 196,18,605,94
197,decisao 197,resumo 197,conteudo 197,67,328,90
198,decisao 198,resumo 198,conteudo 198,68,162,251
199,decisao 199,resumo 199,conteudo 199,6,448,348
200,decisao 200,resumo 200,conteudo 200,83,208,395
201,decisao 201,resumo 201,conteudo 201,97,343,417
202,decisao 202,resumo 202,conteudo 202,42,652,301
203,decisao 203,resumo 203,conteudo 203,76,129,45
204,decisao 204,resumo 204,conteudo 204,18,326,66
205,decisao 205,resumo 205,conteudo 205,32,817,359
206,decisao 206,resumo 206,conteudo 206,87,957,361
207,decisao 207,resumo 207,conteudo 207,23,263,325
208,decisao 208,resumo 208,conteudo 208,91,740,88
209,decisao 209,resumo 209,conteudo 209,23,568,309
210,decisao 210,resumo 210,conteudo 210,4,604,490
211,decisao 211,resumo 211,conteudo 211,69,128,268
212,decisao 212,resumo 212,conteudo 212,21,308,247
213,decisao 213,resumo 213,conteudo 213,24,204,447
214,decisao 214,resumo 214,conteudo 214,62,358,466
215,decisao 215,resumo 215,conteudo 215,36,446,184
216,decisao 216,resumo 216,conteudo 216,80,140,438
217,decisao 217,resumo 217,conteudo 217,83,881,499
218,decisao 218,resumo 218,conteudo 218,30,888,6
219,decisao 219,resumo 219,conteudo 219,44,95,69
220,decisao 220,resumo 220,conteudo 220,46,564,367
221,decisao 221,resumo 221,conteudo 221,77,681,62
222,decisao 222,resumo 222,conteudo 222,59,359,343
223,decisao 223,resumo 223,conteudo 223,3,269,63
224,decisao 224,resumo 224,conteudo 224,67,236,235
225,decisao 225,resumo 225,conteudo 225,59,29,381
226,decisao 226,resumo 226,conteudo 226,68,91,448
227,decisao 227,resumo 227,conteudo 227,49,214,84
228,decisao 228,resumo 228,conteudo 228,31,139,490
229,decisao 229,resumo 229,conteudo 229,32,459,202
230,decisao 230,resumo 230,conteudo 230,94,688,480
231,decisao 231,resumo 231,conteudo 231,29,732,68
232,decisao 232,resumo 232,conteudo 232,15,705,498
233,decisao 233,resumo 233,conteudo 233,38,72,230
234,decisao 234,resumo 234,conteudo 234,94,195,350
235,decisao 235,resumo 235,conteudo 235,56,159,410
236,decisao 236,resumo 236,conteudo 236,16,777,461
237,decisao 237,resumo 237,conteudo 237,67,711,120
238,decisao 238,resumo 238,conteudo 238,97,111,358
239,decisao 239,resumo 239,conteudo 239,90,967,285
240,decisao 240,resumo 240,conteudo 240,69,729,476
241,decisao 241,resumo 241,conteudo 241,40,631,180
242,decisao 242,resumo 242,conteudo 242,26,854,357
243,decisao 243,resumo 243,conteudo 243,52,364,374
244,decisao 244,resumo 244,conteudo 244,71,372,174
245,decisao 245,resumo 245,conteudo 245,59,141,41
246,decisao 246,resumo 246,conteudo 246,11,228,138
247,decisao 247,resumo 247,conteudo 247,10,113,117
248,decisao 248,resumo 248,conteudo 248,97,499,285
249,decisao 249,resumo 249,conteudo 249,83,141,299
250,decisao 250,resumo 250,conteudo 250,36,429,387
251,decisao 251,resumo 251,conteudo 251,11,178,41
252,decisao 252,resumo 252,conteudo 252,7,800,208
253,decisao 253,resumo 253,conteudo 253,65,231,264
254,decisao 254,resumo 254,conteudo 254,88,942,65
255,decisao 255,resumo 255,conteudo 255,65,470,15
256,decisao 256,resumo 256,conteudo 256,78,875,306
257,decisao 257,resumo 257,conteudo 257,95,279,460
258,decisao 258,resumo 258,conteudo 258,10,643,28
259,decisao 259,resumo 259,conteudo 259,39,176,36
260,decisao 260,resumo 260,conteudo 260,9,684,390
261,decisao 261,resumo 261,conteudo 261,87,929,211
262,decisao 262,resumo 262,conteudo 262,34,614,443
263,decisao 263,resumo 263,conteudo 263,59,636,479
264,decisao 264,resumo 264,conteudo 264,12,96,218
265,decisao 265,resumo 265,conteudo 265,95,962,91
266,decisao 266,resumo 266,conteudo 266,23,596,78
267,decisao 267,resumo 267,conteudo 267,24,678,224
268,decisao 268,resumo 268,conteudo 268,6,295,146
269,decisao 269,resumo 269,conteudo 269,87,686,376
270,decisao 270,resumo 270,conteudo 270,26,488,163
271,decisao 271,resumo 271,conteudo 271,47,663,202
272,decisao 272,resumo 272,conteudo 272,45,948,133
273,decisao 273,resumo 273,conteudo 273,35,429,1
274,decisao 274,resumo 274,conteudo 274,23,598,483
275,decisao 275,resumo 275,conteudo 275,41,548,325
276,decisao 276,resumo 276,conteudo 276,35,985,44
277,decisao 277,resumo 277,conteudo 277,38,654,140
278,decisao 278,resumo 278,conteudo 278,99,810,431
279,decisao 279,resumo 279,conteudo 279,43,693,489
280,decisao 280,resumo 280,conteudo 280,85,567,309
281,decisao 281,resumo 281,conteudo 281,78,102,29
282,decisao 282,resumo 282,conteudo 282,67,53,296
283,decisao 283,resumo 283,conteudo 283,41,18,431
284,decisao 284,resumo 284,conteudo 284,49,234,423
285,decisao 285,resumo 285,conteudo 285,83,296,360
286,decisao 286,resumo 286,conteudo 286,19,169,294
287,decisao 287,resumo 287,conteudo 287,85,709,226
288,decisao 288,resumo 288,conteudo 288,64,328,228
289,decisao 289,resumo 289,conteudo 289,29,246,237
290,decisao 290,resumo 290,conteudo 290,5,194,232
291,decisao 291,resumo 291,conteudo 291,76,348,103
292,decisao 292,resumo 292,conteudo 292,26,565,110
293,decisao 293,resumo 293,conteudo 293,76,770,230
294,decisao 294,resumo 294,conteudo 294,98,631,264
295,decisao 295,resumo 295,conteudo 295,87,128,383
296,decisao 296,resumo 296,conteudo 296,24,644,3
297,decisao 297,resumo 297,conteudo 297,85,338,350
298,decisao 298,resumo 298,conteudo 298,27,84,126
299,decisao 299,resumo 299,conteudo 299,48,404,455
300,decisao 300,resumo 300,conteudo 300,41,562,279
301,decisao 301,resumo 301,conteudo 301,22,470,217
302,decisao 302,resumo 302,conteudo 302,14,704,417
303,decisao 303,resumo 303,conteudo 303,91,680,458
304,decisao 304,resumo 304,conteudo 304,95,748,341
305,decisao 305,resumo 305,conteudo 305,65,13,309
306,decisao 306,resumo 306,conteudo 306,37,238,28
307,decisao 307,resumo 307,conteudo 307,68,690,120
308,decisao 308,resumo 308,conteudo 308,74,465,406
309,decisao 309,resumo 309,conteudo 309,61,63,284
310,decisao 310,resumo 310,conteudo 310,74,231,294
311,decisao 311,resumo 311,conteudo 311,74,277,236
312,decisao 312,resumo 312,conteudo 312,9,951,404
313,decisao 313,resumo 313,conteudo 313,41,225,110
314,decisao 314,resumo 314,conteudo 314,16,308,210
315,decisao 315,resumo 315,conteudo 315,31,676,127
316,decisao 316,resumo 316,conteudo 316,98,186,499
317,decisao 317,resumo 317,conteudo 317,18,990,377
318,decisao 318,resumo 318,conteudo 318,47,230,238
319,decisao 319,resumo 319,conteudo 319,82,302,491
320,decisao 320,resumo 320,conteudo 320,33,499,103
321,decisao 321,resumo 321,conteudo 321,49,591,479
322,decisao 322,resumo 322,conteudo 322,68,849,104
323,decisao 323,resumo 323,conteudo 323,63,491,4
324,decisao 324,resumo 324,conteudo 324,45,184,42
325,decisao 325,resumo 325,conteudo 325,58,104,399
326,decisao 326,resumo 326,conteudo 326,55,878,289
327,decisao 327,resumo 327,conteudo 327,19,726,118
328,decisao 328,resumo 328,conteudo 328,28,63,461
329,decisao 329,resumo 329,conteudo 329,82,83,488
330,decisao 330,resumo 330,conteudo 330,32,703,29
331,decisao 331,resumo 331,conteudo 331,11,179,61
332,decisao 332,resumo 332,conteudo 332,62,244,325
333,decisao 333,resumo 333,conteudo 333,89,617,215
334,decisao 334,resumo 334,conteudo 334,50,601,169
335,decisao 335,resumo 335,conteudo 335,49,64,132
336,decisao 336,resumo 336,conteudo 336,24,963,495
337,decisao 337,resumo 337,conteudo 337,48,820,469
338,decisao 338,resumo 338,conteudo 338,48,489,59
339,decisao 339,resumo 339,conteudo 339,56,71,468
340,decisao 340,resumo 340,conteudo 340,63,76,315
341,decisao 341,resumo 341,conteudo 341,100,629,140
342,decisao 342,resumo 342,conteudo 342,44,868,437
343,decisao 343,resumo 343,conteudo 343,78,904,447
344,decisao 344,resumo 344,conteudo 344,64,195,267
345,decisao 345,resumo 345,conteudo 345,90,260,339
346,decisao 346,resumo 346,conteudo 346,96,185,347
347,decisao 347,resumo 347,conteudo 347,99,675,126
348,decisao 348,resumo 348,conteudo 348,52,810,372
349,decisao 349,resumo 349,conteudo 349,22,695,100
350,decisao 350,resumo 350,conteudo 350,70,271,423
351,decisao 351,resumo 351,conteudo 351,91,907,279
352,decisao 352,resumo 352,conteudo 352,49,62,165
353,decisao 353,resumo 353,conteudo 353,33,511,281
354,decisao 354,resumo 354,conteudo 354,40,302,143
355,decisao 355,resumo 355,conteudo 355,12,935,47
356,decisao 356,resumo 356,conteudo 356,24,580,448
357,decisao 357,resumo 357,conteudo 357,57,176,3
358,decisao 358,resumo 358,conteudo 358,45,943,46
359,decisao 359,resumo 359,conteudo 359,61,681,453
360,decisao 360,resumo 360,conteudo 360,9,588,63
361,decisao 361,resumo 361,conteudo 361,5,246,244
362,decisao 362,resumo 362,conteudo 362,75,300,188
363,decisao 363,resumo 363,conteudo 363,4,441,357
364,decisao 364,resumo 364,conteudo 364,23,347,252
365,decisao 365,resumo 365,conteudo 365,29,456,192
366,decisao 366,resumo 366,conteudo 366,73,248,49
367,decisao 367,resumo 367,conteudo 367,62,125,455
368,decisao 368,resumo 368,conteudo 368,71,618,175
369,decisao 369,resumo 369,conteudo 369,36,585,48
370,decisao 370,resumo 370,conteudo 370,37,218,57
371,decisao 371,resumo 371,conteudo 371,78,932,116
372,decisao 372,resumo 372,conteudo 372,100,562,369
373,decisao 373,resumo 373,conteudo 373,32,806,288
374,decisao 374,resumo 374,conteudo 374,29,468,192
375,decisao 375,resumo 375,conteudo 375,30,373,244
376,decisao 376,resumo 376,conteudo 376,76,736,231
377,decisao 377,resumo 377,conteudo 377,77,386,488
378,decisao 378,resumo 378,conteudo 378,31,794,40
379,decisao 379,resumo 379,conteudo 379,37,110,267
380,decisao 380,resumo 380,conteudo 380,55,850,316
381,decisao 381,resumo 381,conteudo 381,30,801,423
382,decisao 382,resumo 382,conteudo 382,52,412,97
383,decisao 383,resumo 383,conteudo 383,29,616,90
384,decisao 384,resumo 384,conteudo 384,57,971,141
385,decisao 385,resumo 385,conteudo 385,32,973,206
386,decisao 386,resumo 386,conteudo 386,21,480,362
387,decisao 387,resumo 387,conteudo 387,78,945,337
388,decisao 388,resumo 388,conteudo 388,26,476,77
389,decisao 389,resumo 389,conteudo 389,22,499,466
390,decisao 390,resumo 390,conteudo 390,1,361,181
391,decisao 391,resumo 391,conteudo 391,92,644,25
392,decisao 392,resumo 392,conteudo 392,23,5,56
393,decisao 393,resumo 393,conteudo 393,60,523,44
394,decisao 394,resumo 394,conteudo 394,100,896,258
395,decisao 395,resumo 395,conteudo 395,43,884,177
396,decisao 396,resumo 396,conteudo 396,19,466,44
397,decisao 397,resumo 397,conteudo 397,84,186,6
398,decisao 398,resumo 398,conteudo 398,22,946,391
399,decisao 399,resumo 399,conteudo 399,42,862,255
400,decisao 400,resumo 400,conteudo 400,46,793,318
401,decisao 401,resumo 401,conteudo 401,24,424,127
402,decisao 402,resumo 402,conteudo 402,33,414,440
403,decisao 403,resumo 403,conteudo 403,51,194,77
404,decisao 404,resumo 404,conteudo 404,27,610,34
405,decisao 405,resumo 405,conteudo 405,29,17,341
406,decisao 406,resumo 406,conteudo 406,6,945,395
407,decisao 407,resumo 407,conteudo 407,13,70,367
408,decisao 408,resumo 408,conteudo 408,88,122,21
409,decisao 409,resumo 409,conteudo 409,65,28,126
410,decisao 410,resumo 410,conteudo 410,30,763,2
411,decisao 411,resumo 411,conteudo 411,74,257,243
412,decisao 412,resumo 412,conteudo 412,68,229,91
413,decisao 413,resumo 413,conteudo 413,39,114,381
414,decisao 414,resumo 414,conteudo 414,63,142,341
415,decisao 415,resumo 415,conteudo 415,57,733,221
416,decisao 416,resumo 416,conteudo 416,77,574,297
417,decisao 417,resumo 417,conteudo 417,24,290,325
418,decisao 418,resumo 418,conteudo 418,27,4,290
419,decisao 419,resumo 419,conteudo 419,31,78,354
420,decisao 420,resumo 420,conteudo 420,37,152,264
421,decisao 421,resumo 421,conteudo 421,52,485,240
422,decisao 422,resumo 422,conteudo 422,35,255,9
423,decisao 423,resumo 423,conteudo 423,41,849,42
424,decisao 424,resumo 424,conteudo 424,52,368,406
425,decisao 425,resumo 425,conteudo 425,96,823,35
426,decisao 426,resumo 426,conteudo 426,78,341,63
427,decisao 427,resumo 427,conteudo 427,91,308,304
428,decisao 428,resumo 428,conteudo 428,82,511,481
429,decisao 429,resumo 429,conteudo 429,20,118,386
430,decisao 430,resumo 430,conteudo 430,77,598,488
431,decisao 431,resumo 431,conteudo 431,23,105,473
432,decisao 432,resumo 432,conteudo 432,35,471,389
433,decisao 433,resumo 433,conteudo 433,30,377,94
434,decisao 434,resumo 434,conteudo 434,2,225,473
435,decisao 435,resumo 435,conteudo 435,97,999,26
436,decisao 436,resumo 436,conteudo 436,40,1000,230
437,decisao 437,resumo 437,conteudo 437,92,82,469
438,decisao 438,resumo 438,conteudo 438,61,570,450
439,decisao 439,resumo 439,conteudo 439,13,529,193
440,decisao 440,resumo 440,conteudo 440,59,916,216
441,decisao 441,resumo 441,conteudo 441,40,855,347
442,decisao 442,resumo 442,conteudo 442,44,182,202
443,decisao 443,resumo 443,conteudo 443,14,442,303
444,decisao 444,resumo 444,conteudo 444,35,168,431
445,decisao 445,resumo 445,conteudo 445,89,628,267
446,decisao 446,resumo 446,conteudo 446,67,661,45
447,decisao 447,resumo 447,conteudo 447,14,228,83
448,decisao 448,resumo 448,conteudo 448,98,305,333
449,decisao 449,resumo 449,conteudo 449,79,851,117
450,decisao 450,resumo 450,conteudo 450,92,854,156
451,decisao 451,resumo 451,conteudo 451,20,50,162
452,decisao 452,resumo 452,conteudo 452,86,220,438
453,decisao 453,resumo 453,conteudo 453,75,714,161
454,decisao 454,resumo 454,conteudo 454,46,986,11
455,decisao 455,resumo 455,conteudo 455,8,147,156
456,decisao 456,resumo 456,conteudo 456,72,127,310
457,decisao 457,resumo 457,conteudo 457,28,282,413
458,decisao 458,resumo 458,conteudo 458,81,416,120
459,decisao 459,resumo 459,conteudo 459,77,139,18
460,decisao 460,resumo 460,conteudo 460,40,295,151
461,decisao 461,resumo 461,conteudo 461,45,633,377
462,decisao 462,resumo 462,conteudo 462,11,784,268
463,decisao 463,resumo 463,conteudo 463,5,280,469
464,decisao 464,resumo 464,conteudo 464,56,968,124
465,decisao 465,resumo 465,conteudo 465,59,200,73
466,decisao 466,resumo 466,conteudo 466,65,672,335
467,decisao 467,resumo 467,conteudo 467,91,804,435
468,decisao 468,resumo 468,conteudo 468,14,265,357
469,decisao 469,resumo 469,conteudo 469,55,195,243
470,decisao 470,resumo 470,conteudo 470,31,420,343
471,decisao 471,resumo 471,conteudo 471,76,280,262
472,decisao 472,resumo 472,conteudo 472,100,901,167
473,decisao 473,resumo 473,conteudo 473,71,561,150
474,decisao 474,resumo 474,conteudo 474,69,446,361
475,decisao 475,resumo 475,conteudo 475,66,411,265
476,decisao 476,resumo 476,conteudo 476,22,857,33
477,decisao 477,resumo 477,conteudo 477,100,927,113
478,decisao 478,resumo 478,conteudo 478,54,322,337
479,decisao 479,resumo 479,conteudo 479,41,195,271
480,decisao 480,resumo 480,conteudo 480,73,27,215
481,decisao 481,resumo 481,conteudo 481,51,508,434
482,decisao 482,resumo 482,conteudo 482,78,723,447
483,decisao 483,resumo 483,conteudo 483,74,762,469
484,decisao 484,resumo 484,conteudo 484,12,295,341
485,decisao 485,resumo 485,conteudo 485,9,575,195
486,decisao 486,resumo 486,conteudo 486,19,765,31
487,decisao 487,resumo 487,conteudo 487,30,644,407
488,decisao 488,resumo 488,conteudo 488,59,79,497
489,decisao 489,resumo 489,conteudo 489,95,204,305
490,decisao 490,resumo 490,conteudo 490,61,764,424
491,decisao 491,resumo 491,conteudo 491,94,71,415
492,decisao 492,resumo 492,conteudo 492,82,936,244
493,decisao 493,resumo 493,conteudo 493,29,872,418
494,decisao 494,resumo 494,conteudo 494,93,787,103
495,decisao 495,resumo 495,conteudo 495,5,12,83
496,decisao 496,resumo 496,conteudo 496,17,31,50
497,decisao 497,resumo 497,conteudo 497,76,499,289
498,decisao 498,resumo 498,conteudo 498,31,248,47
499,decisao 499,resumo 499,conteudo 499,67,931,398
500,decisao 500,resumo 500,conteudo 500,44,843,149
501,decisao 501,resumo 501,conteudo 501,18,636,30
502,decisao 502,resumo 502,conteudo 502,89,25,395
503,decisao 503,resumo 503,conteudo 503,71,704,463
504,decisao 504,resumo 504,conteudo 504,21,824,477
505,decisao 505,resumo 505,conteudo 505,21,508,33
506,decisao 506,resumo 506,conteudo 506,57,411,102
507,decisao 507,resumo 507,conteudo 507,8,664,468
508,decisao 508,resumo 508,conteudo 508,35,816,353
509,decisao 509,resumo 509,conteudo 509,77,689,139
510,decisao 510,resumo 510,conteudo 510,10,610,152
511,decisao 511,resumo 511,conteudo 511,42,735,255
512,decisao 512,resumo 512,conteudo 512,66,870,315
513,decisao 513,resumo 513,conteudo 513,68,352,64
514,decisao 514,resumo 514,conteudo 514,59,933,241
